Unnamed: 0,번호,제목,저자,출판사,출판일,학위논문사항
,51,Textual analysis and macro-finance early  warning system for the Chinese market : how to predict macro-financial risks with the  sentiments from big Data,왕옥영,한양대학교 대학원,2020,국내석사
,52,Citywide Time-dependent Grid-based Traffic Emissions Estimation and Air Quality Inference Using Big Data,"LI, QING",The University of Wisconsin - Madison,2017,해외박사(DDOD)
,53,AI and Big Data in Health: Boosting Reliability and Efficiency in Predictive Healthcare Models   [electronic resource],"Wang, Yuqing","University of California, Santa Barbara",2023,해외박사(DDOD)
,54,Hierarchical Non-Parametric Bayesian Mixture Models and Applications on Big Data,"Yerebakan, Halid Ziya",Purdue University,2017,해외박사(DDOD)
,55,The study on the digital advertising to targeted visitors based on big data,"Jing, DU",강원대학교 대학원,2022,국내석사
,56,NoSQL 데이터베이스와 제삼자 빅데이터 솔루션의 효율적인 통합 : Efficient Integration of NoSQL Databases and Third Party Big Data Solution,아론 니치,청주대학교 대학원,2016,국내석사
,57,(The) Impact of Personalized Recommendation on Purchase Intention under the Background of Big Data : (The) Mediating Effect of Mind-flow Experience and Perceived Trus,신운,목원대학교 대학원,2023,국내박사
,58,A study on the key factors affecting the adoption of big data analytics for efficient human resource management in Cameroon public service,TAMBEAYUKTAKEM JACOB,숭실대학교 정보과학대학원,2023,국내석사
,59,On the Performance Evaluation of Big Data Systems,"Pirzadeh, Pouria","University of California, Irvine",2015,해외박사(DDOD)
,60,Building Big Data Analytics as a Strategic Capability in Industrial Firms: Firm Level Capabilities and Project Level Practices,"Alexander, Dijo T",Case Western Reserve University,2019,해외박사(DDOD)
,61,Critical factors affecting adoption of big data system for improving public policy making in Ecuador = 에콰도르의 공공정책 수립 개선용 빅 데이터 시스템 도입에 영향을 미치는 핵심 요인 연구,하로 바카실비아 엘리자베쓰,숭실대학교 정보과학대학원,2017,국내석사
,62,Regulation on the Abuse of Market Dominant Position in Big Data Transaction,"Guo, Han Wen",충북대학교,2019,국내박사
,63,(A) Rule-based Data Grouping Method for Personalized Log Analysis System in Big Data Computing,김용현,경희대학교 일반대학원,2015,국내석사
,64,A Study on Policy Agenda Setting using Social Big Data Analytics : Focused on the Case of Seoul National University,김금순,서울대학교 대학원,2019,국내석사
,65,Studying Factors that Accept Big Data Platform to Improve Maize Production: A Case of Southern Zone in Tanzania,KIGALU MICHAEL FIDELIS,숭실대학교 정보과학대학원,2023,국내석사
,66,"Development of IoT-based sensors, big data processing, and prediction model for real-time monitoring system in manufacturing industry = 제조 산업의 실시간 모니터링 시스템을 위한 IoT 기반 센서, 빅데이터 프로세싱 및 예측 모델 개발","Syafrudin, Muhammad",Dongguk University,2019,국내박사
,67,중국 국경간 전자상거래 기업의 전략적 지향점이 국제성과에 미치는 영향에 관한 연구 : 빅데이터 능력과 조직 민첩성을 매개변수로 하여 = A Study on the Impact of Strategic Orientation on International Performance of Chinese Cross-border E-commerce Enterprises: Focusing on the Mediating Effect of Big Data Capability and Organizational Agility,상홍강,우석대학교 일반대학원,2023,국내박사
,68,A Study on the adoption of  Big Data analysis for  Technical Vocational  Education and Training  (TVET) in Palestine,Afana Kifah N M,숭실대학교 정보과학대학원,2023,국내석사
,69,Is big data analytics capability enhancing business value and firm performance : Indonesia case,IHSAN MOCHAMAD CHAIRUL,아주대학교 대학원,2019,국내석사
,70,Adoption of Robotic Process Automation Techniques: Emissions Trading Big Data Crawling System,THAI HONG DANH,한국해양대학교 대학원,2022,국내석사
,71,(A) study of the big data influence on consumers’ purchase intention,"Lyu, Haoran",Sungkyunkwan University,2022,국내석사
,72,Trust-based network security enhancement and processing performance optimization for real-time big data processing systems,서승우,"Graduate School, Yonsei University",2022,국내박사
,73,3D Big data Visual Analytics for Brand Personality : The continuous simulation model based on 3D finite element method,설상훈,성균관대학교 일반대학원,2016,국내박사
,74,Efficient anf intelligent system design for big data processing and measurement,이세일,"Graduate School, Korea University",2018,국내박사
,75,A Study on the Factors Affecting Big Data Adoption in Uzbekistan Companies,Nazimov Sarvar,Kumoh National Institute of Technology,2020,국내석사
,76,A Reference Model for Big Data Analysis in Shipbuilding Industry,Yonghyeok Lee,Graduate School of UNIST,2017,국내석사
,77,스카이트랙스 온라인리뷰 기반의 빅데이터 분석을 통한 CIS국가(중앙아시아 국가) 항공사와 한국 항공사의 비교 = Comparison between CIS Airlines with Korean Airlines using the Skytrax reviews through the Big Data Analytics,아랄바예바 샤디야르,경성대학교 일반대학원,2020,국내석사
,78,Research on personal information security in the age of big data,최뢰,한양대학교 대학원,2019,국내석사
,79,A Proposal on the development methodology and data governance for the implement and operation of big data system in water resources : based on K-water case,신용원,KDI School of Public Policy and Management,2020,국내석사
,80,SEMANTIC PRESERVATION OF STANDARDIZED HEALTHCARE DOCUMENTS IN BIG DATA,Shujaat Hussain,경희대학교 대학원,2020,국내박사
,81,Quantitative litigation prediction model based on patent big data to support innovative growth,김영호,"Graduate School, Korea University",2021,국내박사
,82,A Study on Blockchain Architecture for Big Data Environments = 빅데이터 환경을 위한 블록체인 아키텍처에 관한 연구,키크마툴로,인하대학교 대학원,2024,국내박사
,83,A study of coffee shop industry through big data analytics: Focused on differences between business types = A study of coffee shop industry through big data analytics: Focused on differences between business types,타오슈팅,경성대학교 일반대학원,2021,국내박사
,84,Water-energy-carbon nexus based optimal systems and renewable energies assisted sustainable development strategies to tackle climate changes using big data,POUYA IFAEI,경희대학교 대학원,2019,국내박사
,85,(A) research on the policy making process on the efficient reduction of particulate matter through the analysis on the altering characteristics of floating population based on big data,김봉균,"Graduate School, Yonsei University",2020,국내박사
,86,System for Efficient Big Data Analytics,"Feng, Boyuan","University of California, Santa Barbara",2022,해외박사(DDOD)
,87,Exploring big data analytics capabilities of organizations : Big data analytics capability and mature knowledge utilization,이희라,서울대학교 대학원,2020,국내석사
,88,An Implementation of IoT End-to-end Data Pipeline for Industrial Big Data Platform,SOENG SARAVIT,충북대학교,2022,국내석사
,89,Big Data-Driven Discovery of Novel Oncogenic Fusion Genes for Anticancer Therapy = 빅데이터 기반의 항암치료를 위한 새로운 타겟 융합유전자 발굴,김두호,서울대학교 대학원,2024,국내석사
,90,Parallelizing big data processing engines for higher storage utilization,"Lee, Jongbaeg",Sungkyunkwan university,2021,국내박사
,91,빅데이터 분석을 활용한 크루즈 산업 연구 : 크루자 경험과 만족도 중심으로 = An insight of cruise industry through big data analytics: Focused on cruiser experience and satisfaction,타오 슈팅,경성대학교 일반대학원,2019,국내석사
,92,빅 데이터의 데이터 수집 방법 연구 = A Study on a Method of Data Collection in Big Data,진효군,우석대학교 일반대학원,2022,국내석사
,93,Spatiotemporal Big Data Analytics for Future Mobility,"Ali, Reem",University of Minnesota,2019,해외박사(DDOD)
,94,Assessment of challenges and potentials of Big Data Analytics for SMEs : The Case of Mongolia = 중소기업을위한 빅 데이터 분석의 도전과 잠재력 평가 : 몽골의 사례를 중심으로,바트바야르,서울대학교 대학원,2021,국내석사
,95,Technology and Pedagogy: Using Big Data to Enhance Student Learning,"Brinton, Christopher Greg",Princeton University,2016,해외박사(DDOD)
,96,Study on a big data analytic framework using data mining and complex event processing,쉬전순,Korea University,2019,국내박사
,97,Hotel Online Reviews in Big Data Analytics : :A Comparative Study of Solo Travelers and Non-Solo Travelers,조동석,경성대학교 일반대학원,2018,국내박사
,98,Toward Practical Application-Aware Big Data Systems,"You, Jie",University of Michigan,2022,해외박사(DDOD)
,99,Profiling techniques for big data streaming analytics workloads for multicores and the cloud,양신형,"Graduate School, Yonsei University",2022,국내박사
,100,Secure collaborative machine learning in big data systems,"Xu, Kaihe",University of Florida,2015,해외박사(DDOD)
,1,Research on several banded toeplitz matrices with perturbations in big data = 빅 데이터에서 섭동을 갖는 밴드형 토플리츠 행렬에 관한 연구,Yunlan Wei,수원대학교,2021,국내박사
,2,Applications of Sim-hash and Big Data Analysis in SPAM Email Detection System : SIM-HASH와 빅데이터 분석을 이용한 스팸 메일 탐지 시스템,호퍽트란,건국대학교 대학원,2014,국내석사
,3,(An) investigation of cost-volume tradeoff in big data management,구본영,"Graduate School, Korea University",2015,국내석사
,4,Land Price Forecasting Research by Macro and Micro Factors and Real Estate Market Utilization Plan Research by Landscape Factors: Big Data Analysis Approach = Land Price Forecasting Research by Macro and Micro Factors and Real Estate Market Utilization Plan Research by Landscape Factors: Big Data Analysis Approach,이상향,한국해양대학교 대학원,2021,국내석사
,5,Time Estimation and Resource Minimization Scheme for Apache Spark and Hadoop Big Data Systems with Failures = Spark 와 Hadoop Big Data 시스템을 위한 실패를 고려한 작업 시간 예측과 최소 자원 분배 기법 연구,Jin Bae Lee,연세대학교 일반대학원,2019,국내석사
,6,Spatial Big Data Analytics: Classification Techniques for Earth Observation Imagery,"Jiang, Zhe",University of Minnesota,2016,해외박사(DDOD)
,7,HyperStream: High Performance Parallel Data Processing System for Big Data = 하이퍼스트림: 빅데이터 분석을 위한 고성능 병렬 처리 시스템,조시원,동국대학교,2012,국내박사
,8,"Use of ICT and big data in business as a facilitator of export, a cross-country analysis with panel data","He, Yuqi","Graduate School of International Studies, Korea University",2020,국내석사
,9,Efficient Skyline Query Processing in Big Data using Data Incomparability and Hash Index,"Choi, Jong Hyeok",충북대학교,2021,국내박사
,10,A-Optimal Subsampling for Big Data General Estimating Equations,"Cheung, Chung Ching",Purdue University,2019,해외박사(DDOD)
,11,Traffic Congestion Analysis and Prediction based on Big data and Deep Learning Technologies,Navin Ranjan,"Graduate School of Engineering, Incheon Nation University",2021,국내석사
,12,User Engagement and Effectiveness of Fact-checking News: Evidence from Big Data Analysis and Survey Data = 팩트체크 뉴스의 이용자 관여행위와 효과에 관한 연구: 빅데이터 분석과 서베이 데이터를 중심으로,Han Lin,동국대학교 일반대학원,2023,국내박사
,13,Two-stage model selection procedure in big data with missing values = 결측이 존재하는 빅데이터 분석에서 선형모형 선택을 위한 두단계 접근법 개발 및 비교,지상아,성균관대학교 일반대학원,2023,국내박사
,14,Trends of Youth Issues on Social Media and Policy Tasks: Focusing on Social Big Data Analysis from 2003 to 2022 = 소셜미디어에 나타난 청년 이슈의 추이와 정책과제: 2003년부터 2022년까지 소셜 빅 데이터 분석을 중심으로,Binnah Kim,연세대학교 사회복지대학원,2023,국내석사
,15,"Impact of key factors on the adoption of innovative technologies (internet of things, cloud computing, big data analytics and mobile computing) at firms in Korea = 기업의 혁신기술 수용요소 : 사물인터넷, 클라우드컴퓨팅, 빅데이터, 모바일컴퓨팅 기술을 중심으로","Lee, Jungmin",Yonsei University,2019,국내석사
,16,Research on Management Strategies of Chinese Education and Training Enterprises under the Background of Epidemic Situation : Analysis of Precision Marketing Strategy Based on Big Data = 중국 교육훈련기업의 경영전략에 관한 연구 -빅테이터 기반의 정밀 마케팅 전략 분석,LIANG GUOKUN,부경대학교 기술경영전문대학원,2022,국내박사
,17,Big Data-based Network Analysis and Structural Equation Modeling Omni-channel O2O service : Comparison of online-loyalty and offline-loyalty = 빅데이터 기반 네트워크 분석과 구조방정식 모형을 활용한 옴니채널형 O2O 서비스의 소비자 충성도 분석 연구 : online-Loyalty와 offline-Loyalty 비교 분석,이지윤,성균관대학교 일반대학원,2017,국내석사
,18,Big-data-based novel and advanced biomarker mining focused on specific detection and quantification of pathogenic bacteria,Cho Min Seok,Dankook University,2016,국내박사
,19,빅데이터 분석을 위한 결측값 대체 기법 = Missing Value Imputation Method For Big Data Analys,여몽,신라대학교 일반대학원,2022,국내석사
,20,Application of Machine Learning to DEA with Big Data = 빅데이터 DEA를 위한 기계학습의 적용,응위엔투이즈엉,동국대학교 일반대학원,2022,국내석사
,21,빅데이터를 활용한 항공산업 서비스 품질 분석과 고객 만족에 관한 연구 = A study on the Aviation Service Quality and Customer Satisfaction Using Big Data,이예지,한국항공대학교 일반대학원,2021,국내석사
,22,Huge big data handling in semiconductor domain : a study on chip level critical test item investigation significant to defect,김진식,한양대학교 공학대학원,2021,국내석사
,23,Traffic Data On-the-Fly: Image-Based Big Data Analytics for Resilient and Connected Communities,"Karaer, Alican",The Florida State University,2022,해외박사(DDOD)
,24,SNS 빅데이터를 이용한 '맛집' 관련 네이버 블로그 포스트 네트워크 분석 = Network Analysis of Blog Post related to ‘Matjib’ Using SNS Big Data,최하연,경성대학교 일반대학원,2018,국내석사
,25,"Optimal ""big data"" aggregation systems -- From theory to practical application","Culhane, William John, IV",Purdue University,2015,해외박사(DDOD)
,26,고차원 빅데이터를 위한 GPU기반 범위 질의의 병렬화 및 최적화 = GPU based Parallelization and Optimization of Range Query for High-Dimensional Big Data,김민철,인하대학교 대학원,2020,국내박사
,27,Applications of big data for image processing,"Neralla, Santhoshi Rupa Gayatri",Sungkyunkwan university,2018,국내석사
,28,Population-based big data analysis and institution-specific data verification of secondary cancer risk according to thyroid cancer in patients with lipid metabolic disease,허준,"Graduate School, Yonsei University",2023,국내박사
,29,Comparative Study on Restaurant Quality Demand between Before and After the Outbreak of COVID19 Using Big Data and Text Analysis = 빅데이터와 텍스트 분석을 통한 COVID19 발병 전후의 레스토랑 품질 수요 비교 연구,김유경,서울대학교 대학원,2022,국내석사
,30,Prediction of virtual currency market with social big data and deep learning,김영빈,Korea University,2017,국내박사
,31,클라우드 컴퓨팅의 이기종 부하 빅데이터 응용에 대한 지능형 리소스 관리 시스템의 연구 = Research on the Intelligent Resource Management System for the Heterogeneous Load in Cloud Computing-based Big Data Applications,백용,목원대학교 대학원,2022,국내박사
,32,Analysis of Domestic Cause of Death Data Using Big Data Visualization Technique,오래은,이화여자대학교 대학원,2019,국내석사
,33,아시아 인구집단 유전체 빅데이터 기반 포름알데히드의 독성 생체지표 탐색 = Toxicity Biomarkers Exploration of Formaldehyde based on Genomic Big Data of Asian Population,기남국,동국대학교 일반대학원,2022,국내석사
,34,APPLICATION OF A BIG DATA PLATFORM FOR BINARY DATA,김표정,국방대학교 국방관리대학원,2019,국내석사
,35,Strategies to Implement Big Data Analytics in Telecommunications Organizations,"Aneato, Delton",Walden University,2020,해외박사(DDOD)
,36,다국적 테마파크 관광객 만족에 대한 문화적 비교 : 빅데이터 분석 = A Cross-cultural Comparison on Tourists’ Satisfaction with Multinational Theme Parks: Using Big Data Analysis,최원,전북대학교 일반대학원,2023,국내박사
,37,An Algorithm Trading System based on Intraday Price Momentum : a Pattern Recognition Approach in Financial Big Data = 장중 모멘텀 기반 알고리즘 트레이딩 시스템: 금융 빅데이터를 활용한 패턴인식 접근법,"Lee, Chun Ju",연세대학교 일반대학원,2019,국내박사
,38,(A) study on travel time reliability with big data clustering,전현명,"Graduate School, Yonsei University",2020,국내박사
,39,(A) Bayesian hierarchical model to combine summary statistics from big data and survey sample : an application to electronic health records for estimating total and subgroup prevalence,박민섭,"Graduate School, Yonsei University",2018,국내석사
,40,Factors Affecting Perception of Artificial Intelligence-based Intelligent Services : Using Big Data Analytics in Mixed-method Approach,손권상,경희대학교 대학원,2022,국내박사
,41,Penalized Regression-based Statistical Learning Methods to improve Polygenic Prediction for Genomic Big Data = 유전체 빅데이터를 이용한 다유전자성 예측 향상을 위한 벌점화 회귀모형 기반의 통계 학습 방법,조영광,숭실대학교 대학원,2022,국내석사
,42,A Comparative Study on Mendelian Randomization Methods for Causal Inference in Genomic Big Data,서지은,숭실대학교 대학원,2024,국내석사
,43,Analyzing the influential factors of the elderly daytime mobility in Seoul : using big data of de facto population in Seoul,김현경,서울대학교 대학원,2020,국내석사
,44,"Big data analysis using experimental optimization, data mining, and decision making methodology = 실험적 최적화와 데이터마이닝, 의사결정론을 활용한 빅데이터 분석","Solehati, Nita",Chonbuk National University,2015,국내박사
,45,Big data streaming cloud cluster requirements of augmented reality & smartphone based customer customized real-time advertisement recommendation systems,"Lee, Jemin Justin","Graduate School, Yonsei University",2018,국내박사
,46,Big data mining and validation study of microRNAs as a potential target for colon cancer prevention,강진욱,전주대학교 대학원,2016,국내석사
,47,맵리듀스 환경에서 빅데이터 분석을 위한 그리드 기반 조인 질의처리 알고리즘 = Grid-based Join Query Algorithms for Analyzing Big Data on MapReduce Environment,장미영,전북대학교 일반대학원,2016,국내박사
,48,"Big data analyses on the change in ordering behavior for breast cancer imaging studies, and on the risk of radiation exposure in cardiovascular intervention = 빅데이터 분석을 통한 유방암 영상검사 이용행태 변화 및 심혈관 중재시술 방사선 피폭 위해성 연구",김철한,서울대학교 대학원,2022,국내박사
,49,Big Data Driven Assessment of Probe-sourced Data,"Ahsani, Vesal",Iowa State University,2019,해외박사(DDOD)
,50,Improving the Performance of Big Data Analytics Platforms by Task and I/O Granularity Adjustment,Wonbae Kim,Ulsan National Institute of Science and Technology,2023,국내박사
,51,Reduction of Association Rules for Big Data Sets in Internet of Things,설우식,성균관대학교 일반대학원,2014,국내석사
,52,VELOXDFS : ELASTIC BLOCKS IN DISTRIBUTED FILE SYSTEMS FOR BIG DATA FRAMEWORKS,Vicente Adolfo Bolea Sanchez,Graduate School of UNIST,2019,국내석사
,53,Big data in organizations and the role of human resource management : a complex systems theory-based conceptualization,"Scholz, Tobias M.",Peter Lang,2017,해외석사
,54,"국민건강보험 빅데이터를 이용한 초조기발병 염증성 장질환의 전국 인구 기반 역학 연구 (2005-2016) = Nationwide Population-Based Epidemiologic Study of Very-Early Onset IBD Using Health-Care Big Data, 2005-2016",김영은,울산대학교 대학원,2021,국내석사
,55,Using big data analysis to measure  service quality of Airbnb,진적문,한양대학교 대학원,2022,국내석사
,56,3D big data visual analytics for brand personality : the continuous simulation model based on 3D finite element method,"Sul, Sanghun",Sungkyunkwan university,2016,국내박사
,57,Social big data analytics of consumer choices:  A two sided online platform perspective,"Hejazi Nia, Meisam",The University of Texas at Dallas,2016,해외박사(DDOD)
,58,(A) big data analysis on chinese soft power during COVID-19 pandemic and its implication on soft power theory,"Kim, Yerin",Sungkyunkwan University,2022,국내석사
,59,Harnessing Big Data and Machine Learning for Event Detection and Localization,"Yazdi, Amirhessam","University of Nevada, Reno",2022,해외박사(DDOD)
,60,Automatic Construction of Hangul Tag Cluster Exploiting Big Data Processing Technique and LDA Clustering Algorithm : 빅데이터 처리 기술과 LDA 클러스터링 알고리즘을 이용한 한글 클러스터 자동 구축,Hyung-Rak Jo,한양대학교,2016,국내석사
,61,"Analyzing Determinants of Urban Vibrancy: A Big Data Approach on Connecting Built Environment, Social Activity, and Images of Places","Chen, Yan",The University of North Carolina at Chapel Hill,2019,해외박사(DDOD)
,62,"Power, Performance and Scalability for Big Data Query Languages: The Machine Learning Challenge","Wang, Jin","University of California, Los Angeles",2020,해외박사(DDOD)
,63,Accelerating Reads in Big-Data File Systems via Upward Migration of Cold Data,"Dzinamarira, Simbarashe Joseph",Rice University,2019,해외박사(DDOD)
,64,Query Language Extensions for Advanced Analytics on Big Data and their Efficient Implementation,"Gu, Jiaqi","University of California, Los Angeles",2019,해외박사(DDOD)
,65,Cluster Analysis for Big-K Data: Models and Algorithms Based on K-indicators,"Yang, Yuchen",Rice University,2020,해외박사(DDOD)
,66,Combining Systems Biology and Big Data Analytics to Uncover Metabolic and Environmental Factors in Autism Spectrum Disorder,"Vargason, Troy",Rensselaer Polytechnic Institute,2019,해외박사(DDOD)
,67,Unlocking Insights : A Comprehensive Big Data Study of Lymphedema patients in Korea = 국내 림프부종 역학 : 빅데이터에 기반한 통찰과 발견,Dong-Jin Kim,고려대학교  대학원,2024,국내석사
,68,Visualization of Road Utilization based on Big Data Processing of Taxi Trajectory Data,조한나,배재대학교 일반대학원,2019,국내석사
,69,Observing Quasiparticle Interplay in Topological Quantum Materials: New Analysis Paradigms for Big Data Spectroscopy,"Kotta, Erica",New York University,2022,해외박사(DDOD)
,70,Determining optimal capacity of waste treatment facilities based on deep learning and spatial big data,김정현,"Graduate School, Yonsei University",2016,국내석사
,71,"Making Difference with Optimization and Big Data: Topics in Power Grid Visualization, Airline Fleet Assignment and Sports Play Retrieval","Di, Mingyang",Northwestern University,2017,해외박사(DDOD)
,72,Probing the Health Outcomes in Early Childhood Using Bayesian Data Analysis on Big Data   [electronic resource],"Long, Yanan",The University of Chicago,2023,해외박사(DDOD)
,73,Selective I/O bypass : Performance-driven dynamic load balancing method for write-through SSD cache in big data analytics,"Kim, Jae-hyung","Graduate School, Yonsei University",2018,국내박사
,74,Impacts of Online Review Contents on Booking Decision using Text Analytics of Big Data = 빅데이터의 텍스트 분석을 활용한 온라인 리뷰 콘텐츠가 예약 결정에 미치는 영향,심영석,세종대학교 대학원,2021,국내박사
,75,Optimized method for K-nearest neighbours (KNN) using novel clustering algorithm and big data framework,"Kalvankar, Harsha Suhas",Sungkyunkwan university,2018,국내석사
,76,Targeted Minimum Loss Based Estimation: Applications and Extensions in Causal Inference and Big Data,"Lendle, Samuel David","University of California, Berkeley",2015,해외박사(DDOD)
,77,Application of machine learning for prediction of new-onset diabetes mellitus during 5-year follow-up in non-diabetic patients with risks of cardiovascular disease : analysis of big data from electronic medical records of single center = 비 당뇨성 심혈관 질환 의심환자에서 5년 이내 발생 가능한 2형당뇨의 예측을 위한 기계학습 적용 :단일 센터 전자의무기록을 이용한 빅데이터 분석연구,최병걸,Korea University,2018,국내박사
,78,Intelligent pattern learning based main memory management for boosting graph processing in big data analysis,"Yun, Jitae","Graduate School, Yonsei University",2019,국내석사
,79,Common areas of senior housing according to distribution of neighborhood amenities based on the big data of de facto population,이도원,"Graduate School, Yonsei University",2022,국내석사
,80,"New statistical methods and computational tools for mining big data, with applications in plant sciences","Michels, Kurt A",The University of Arizona,2016,해외박사(DDOD)
,81,"Big data present and future in the developing countries ""Senegal as an example""","Mohamed Mahmoud, Taleb Brahim",Paichai University,2018,국내석사
,82,Big Data in Financial Economics,"Xue, Lirong",Princeton University,2021,해외박사(DDOD)
,83,"빅데이터와 머신 러닝 모델을 이용한 COVID-19의 발생률 중증도 사망률에 대한 인플루엔자의 영향 연구 = Study on the effect of influenza on incidence, severity, and mortality of COVID-19 using big data and machine learning models",유연석,전북대학교 일반대학원,2022,국내박사
,84,빅데이타를 이용하여 베타2 아드레날린 수용체 항진제가 당뇨병 환자의 혈관 합병증에 미치는 영향 분석 = Big data analysis regarding effects of beta2 adrenergic receptor agonists on diabetic vascular complications,이희정,순천향대학교 대학원,2019,국내석사
,85,Big-data-based novel and advanced biomarker mining focused on specific detection and quantification of pathogenic bacteria = 빅 데이터 기반 신규 바이오 마커를 활용한 병원성 세균의 특이적 진단,조민석,Dankook University,2016,국내박사
,86,Big data-based network analysis and structural equation modeling omni-channel O2O service : comparison of online-loyalty and offline-loyalty,"Lee, Jiyun",Sungkyunkwan University,2017,국내석사
,87,"Big data platform-based, anomaly detection system of DDoS attacks","Chae, YoonJoo",Sungkyunkwan university,2017,국내석사
,88,"Big data platform-based, Anomaly detection system of DDoS Attacks",채윤주,성균관대학교 일반대학원,2017,국내석사
,89,Machine-Driven Meta-Research: The Application of Big Data Approaches to Map Openness and Transparency in the Biomedical Research Literature,"Serghiou, Stylianos",Stanford University,2020,해외박사(DDOD)
,90,Harnessing Big Data for the Sharing Economy in Smart Cities,"Shou, Zhenyu",Columbia University,2021,해외박사(DDOD)
,91,"A big data analysis of Woori-Heukdon, a composite pig breed from Korean native pig, at the molecular level = 재래돼지 활용 합성종, 우리흑돈 집단에 대한 분자학적 수준의 빅데이터 분석","Kim, Yong-Min",강원대학교 대학원,2022,국내박사
,92,Towards Secure Big Data Computing,"Luo, Changqing",Case Western Reserve University,2018,해외박사(DDOD)
,93,"Spatial network big data : challenges, approaches, and opportunities","Yang, Kwangsoo",ProQuest LLC,2015,국내박사
,94,Studying Product Competition and Sequential Targeting Using Big Data and Machine Learning,"Chen, Fanglin",New York University,2022,해외박사(DDOD)
,95,Reduction of association rules for big data sets in internet of things,"Seol, Woosik",Sungkyunkwan University,2014,국내석사
,96,The impact of the COVID-19 sentiment on Chinese stock markets : By  employing Weibo Big Data,"YUAN, JIE",이화여자대학교 대학원,2022,국내석사
,97,Application of big data of service population for measuring community resilience = 지역사회의 재난 복원력 평가를 위한 서비스인구 빅데이터 활용 방안 연구,조형민,Korea Advanced Institute of Science and Technology,2018,국내석사
,98,"Study on Data acquisition, Big Data Analysis and Machine Learning Prediction Model for rail temperature considering rail direction",박철정,忠南大學校 大學院,2020,국내석사
,99,Analyzing Social Big Data to Study Online Discourse and Its Manipulation,"Varol, Onur",Indiana University,2017,해외박사(DDOD)
,100,Pattern recognition in financial big data for real-time intraday similarity of KOSPI200 futures market,변현우,"Graduate School, Yonsei University",2015,국내박사
,1,Scholarly Communication in the Age of Big Data and Social Media,"Ke, Qing",Indiana University,2018,해외박사(DDOD)
,2,Modern Classification with Big Data,"Wang, Boxiang",University of Minnesota,2018,해외박사(DDOD)
,3,Three hierarchical levels of big-data market model over multiple data sources for internet of things = 세 계층으로 나뉘어진 빅데이터 마켓 모델,장부식,Korea Advanced Institute of Science and Technology,2019,국내박사
,4,Reaping the Rewards of the Big Data Revolution in Ecology,"Graham, Stuart Ian",University of Washington,2021,해외박사(DDOD)
,5,Transit Ridership Models Using Smart Card Big Data        - The Two-stage Least Squares Method(2SLS) and The Generalized Method of Moments(GMM) Approaches -,이정정,서울시립대학교,2017,국내석사
,6,Analytics by degree: The dilemmas of big data analytics in lasting university/corporate partnerships,"Cotter, Patricia",University of Pennsylvania,2014,해외박사(DDOD)
,7,QSAR modeling of dopamine transporter inhibitors using big-data analysis and machine learning,"Lee, Wonyoung",Sungkyunkwan university,2021,국내석사
,8,Business analytics adoption process and capabilities under big data environment = 빅데이터 환경에서의 비즈니스 애널리틱스 도입 프로세스 및 역량에 관한 연구,남달우,KAIST,2016,국내박사
,9,On Optimizing LSM-Based Storage for Big Data Management Systems,"Luo, Chen","University of California, Irvine",2020,해외박사(DDOD)
,10,Automatic construction of Hangul tag cluster exploiting big data processing technique and LDA clustering algorithm,조형락,한양대학교 대학원,2016,국내석사
,11,Intelligent Energy-Efficient Storage System for Big-Data Applications,"Gong, Yifu",North Dakota State University,2020,해외박사(DDOD)
,12,"Ensuring security and privacy in big data sharing, trading, and computing",정태호,ProQuest LLC,2017,국내박사
,13,Improving Cosmological Utility of Type Ia Supernovae through Physics and Big Data,"Siebert, Matthew R","University of California, Santa Cruz",2022,해외박사(DDOD)
,14,Climate Change and Inequality in the U.S.: Sociological Analyses of Big Data,"Raker, Ethan J",Harvard University,2021,해외박사(DDOD)
,15,Semi-AI and Full-AI digitizer: the ways to digitalize visual field big data = Semi-AI와 Full-AI Digitizer: 시야 빅데이터를 디지털화 하는 방법,김동민,가톨릭대학교 대학원,2021,국내박사
,16,Integrated Network Traffic-Mobility Analysis and Modeling Using Big Data,"Alipour, Babak",University of Florida,2019,해외박사(DDOD)
,17,(The) influence of negative emotions on the helpfulness of online reviews using big data analysis = 빅데이터 분석을 이용한 부정적 감정이 온라인 리뷰 유용성에 미치는 영향에 대한 연구,런강,Pusan National University,2018,국내박사
,18,(A) study on heuristically-based parametric performance optimization algorithms for big data computing,김종엽,ProQuest LLC,2016,국내박사
,19,Ontology-based path query processing for relationship finding over semantic big data = 온톨로지 기반 경로 질의처리를 이용한 시맨틱 빅데이터 상의 관계 탐색,정성재,Univ. of Science and Technology,2014,국내박사
,20,Life path and risk factors analysis of dementia patients using healthcare big data,김민아,"Graduate School, Yonsei University",2022,국내석사
,21,Integration of DBMS and distributed file system for big data management and analytics = 빅 데이터 관리 및 분석을 위한 DBMS와 분산 파일 시스템의 통합,김준성,KAIST,2015,국내박사
,22,Care to Share? Investigating Mobility-on-Demand and Other Shared Modes with Big Data and Surveys,"Soria, Jason Malinay",Northwestern University,2022,해외박사(DDOD)
,23,The Influence of Negative Emotions on the Helpfulness of Online Reviews Using Big Data Analysis = 빅데이터 분석을 이용한 부정적 감정이 온라인 리뷰 유용성에 미치는 영향에 대한 연구,임강,부산대학교,2018,국내박사
